ZONE,CIRCLE,DIVISION,DIV_CODE_x,area,1ph_sm,1ph_tot,3ph_sm,3ph_tot,CONSUMPTION_CURR_MNTH,CURRENT_ASSESSMENT,HT_sm,HT_tot,billable,idf,mobile_no,mri_billing,mu_billed,neg_inf,ocr_billing,pos_inf,rdf,real,rem_luc,rem_np,slab_abv_10k,tagged,td_cnt,total,total_billed,turn_up,ce%,turn_up %
JANKIPURAM ZONE,EUDC PURANIA,EDD_BKT,DIV362603,"para, nutpurwa, rajauli, kjoje ka purwa, semra, bibiyapur, shri krishna purwa",589,1414,2,26,335012.87,2872893.08,0,3,1439,8,1408,334,1282,4,321,0,0,2400047.89,6,6,54,1440,14,1440,1394,900,83.5%,64.6%
JANKIPURAM ZONE,EUDC PURANIA,EDD_BKT,DIV362603,"rasoolpur, adhar kheda, chatanpurwa, basha, gadhi, ulrapur,aman city, woodland phase-2, depo, mishrpur part",943,2634,19,122,970313.57,8601882.13,0,8,2754,15,2724,907,2289,19,437,3,0,6475011.39,7,7,143,2755,30,2756,2509,1865,75.3%,74.3%
JANKIPURAM ZONE,EUDC PURANIA,EUDD-JANKIPURAM LUCKNOW,DIV362602,khargapur jagir,403,626,10,61,240319.61000000002,1895405.04,0,0,687,0,682,150,656,3,78,0,0,1722563,0,0,12,687,1,687,665,547,90.9%,82.3%
JANKIPURAM ZONE,EUDC PURANIA,EUDD-JANKIPURAM LUCKNOW,DIV362602,madiyaon,1303,2976,25,104,905920.28,7284360.34,0,0,3080,1,3058,874,2899,31,485,0,0,5930001,0,0,76,3080,2,3080,2997,2213,81.4%,73.8%
JANKIPURAM ZONE,EUDC PURANIA,EUDD_DALIGANJ,DIV362601,"bhandu mohalla, valmiki mohalla, reti mohalla, methi khichdi, kadam rasool, jhabjali tola",865,2091,12,120,711234.86,6152040.63,1,4,2209,4,2182,532,2053,28,596,0,0,4721841,1,1,283,2211,48,2211,2146,1289,76.8%,60.1%
LKO CENTRAL,EUDC RAJ BHAWAN,EUDD_AMINABAD,DIV312615,"chikmandi , shahil school",608,1436,26,115,1562853.3399999999,24418411.98,0,3,1549,3,1539,513,1396,32,256,0,0,16435250,0,0,55,1551,12,1551,1429,1001,67.3%,70.0%
LKO CENTRAL,EUDC RAJ BHAWAN,EUDD_AMINABAD,DIV312615,"khatikana ,sbji mandi",404,983,5,58,324989.09,2608342.32,0,0,1041,1,1035,323,996,14,240,0,0,1942512,0,0,18,1041,16,1041,1013,698,74.5%,68.9%
LKO CENTRAL,EUDC RAJ BHAWAN,EUDD_AMINABAD,DIV312615,"rakabganj, maskaganj",440,2158,15,157,742322.93,6005162.55,0,0,2315,5,2306,1134,2199,15,550,0,0,4950470.82,0,0,61,2315,11,2315,2239,1622,82.4%,72.4%
LKO CENTRAL,EUDC RAJ BHAWAN,EUDD_RAJBHAWAN,DIV312614,narhi,91,350,18,72,357019.89,3655052.06,0,6,421,0,416,118,370,13,117,0,0,2996207,1,1,68,422,2,422,379,263,82.0%,69.4%
LKO CENTRAL,EUDC RAJ BHAWAN,EUDD_RAJBHAWAN,DIV312614,sadar bazar,257,1455,12,62,599358.8,5129246.5,2,2,1517,1,1498,626,1456,17,520,2,0,3087525,0,0,87,1517,3,1517,1480,1078,60.2%,72.8%
LKO CENTRAL,EUDC RAJ BHAWAN,EUDD_RAJBHAWAN,DIV312614,shree ram tower,13,235,10,114,276028.58,2940484.41,0,3,345,3,338,177,315,6,98,0,0,2298710,0,0,85,349,0,349,340,201,78.2%,59.1%
LKO CENTRAL,EUDC TALKATORA,EUDD_AISHBAGH,DIV312631,shastri nagar and khajua.,370,1238,14,105,575320.85,4925153.41,0,3,1343,1,1282,535,1221,14,270,0,0,4111682,0,0,94,1331,8,1343,1273,790,83.5%,62.1%
LKO CENTRAL,EUDC TALKATORA,EUDD_RAJAJIPURM,DIV312634,campwell,1396,2931,8,60,1718656.51,14909407.53,0,3,2990,11,2902,887,2804,11,550,4,0,8411886,0,0,155,2985,12,2991,2911,2309,56.4%,79.3%
LKO CENTRAL,EUDC TALKATORA,EUDD_RAJAJIPURM,DIV312634,haiderganj,1947,3727,1,56,1108796.76,8994345.99,0,1,3783,19,3605,1183,3587,22,515,3,0,7357377.95,0,0,108,3764,7,3783,3678,3005,81.8%,81.7%
LKO CENTRAL,EUDC TALKATORA,EUDD_UPTRON,DIV312635,noorbari,7525,10771,222,410,3303970.22,28341125.25,0,1,11152,23,11070,1760,10377,43,1067,8,0,22198377.63,0,0,515,11180,5,11181,10599,8589,78.3%,81.0%
RAEBARELI,EDC II RAEBARELI,EDD SALON,DIV332751,"barwaliya,bijwaliya, ratanpur ,sanda saidan",3,1098,2,15,115641.95,1555461.86,0,0,1113,27,1006,6,1000,0,575,0,0,348691,163,163,400,1106,47,1113,1110,194,22.4%,17.5%
RAEBARELI,EDC II RAEBARELI,EDD SALON,DIV332751,"dela ,baghaula ,kachanawa 'pure budhai ,sunder ganj ,sadipur kotwa",409,1232,1,18,174188.59,2217276.53,0,1,1248,12,1179,9,992,2,301,1,0,825960,231,231,587,1229,230,1250,1202,178,37.3%,14.8%
RAEBARELI,EDC II RAEBARELI,EDD SALON,DIV332751,"ganeshganj, mohanganj, kithawan, dubahan",5,664,0,14,125116.15,1157434.5,0,1,677,36,653,20,568,0,326,0,0,308301,82,82,224,662,11,678,671,132,26.6%,19.7%
RAEBARELI,EDC II RAEBARELI,EDD SALON,DIV332751,"gudkhet, bilali masjid, naka ,patel nagar ,mahmood nagar,
    lala bajar",29,121,0,2,18567.4,148213.12,0,0,123,6,120,3,99,2,18,0,0,63554,4,4,17,120,3,123,123,40,42.9%,32.5%
RAEBARELI,EDC II RAEBARELI,EDD SALON,DIV332751,"parsadepur chauraha  ,saket nagar 'matiyar ,jilla bajar",43,223,0,4,54832.89,382115.65,0,0,227,7,220,4,159,0,35,1,0,162760.66,30,30,63,221,28,227,219,73,42.6%,33.3%
RAEBARELI,EDC RAEBARELI-I,EDD MAHARAJGANJ,DIV332733,"rudranagar,prakashnagar, randhawa road,chandapur raoad,bachharawa road,sukhai ka puerwa,chunnu ka purwa,ward no 5,wardno 6,wardno 7,warshi nagar",1490,2296,11,69,687223.66,5534322.29,0,4,2363,12,2343,222,1958,9,168,6,0,3809540,38,38,329,2352,35,2365,2294,903,68.8%,39.4%
RAEBARELI,EDC RAEBARELI-I,EDD RAEBARELI,DIV332731,"prakash nagar, rda complex chauraha, krantipuri, kutchehry road",592,1909,6,149,933311.61,8165531.4799999995,0,4,2047,19,1952,326,1610,28,395,4,0,5628740.76,0,0,164,2058,1,2058,1999,1265,68.9%,63.3%
RAEBARELI,EDC RAEBARELI-I,EDD-TRIPULA RAEBARELI,DIV332732,"gangaganj,dighaura, harchandpur",1796,5309,0,54,1177695.97,8875491.11,0,8,5363,236,4970,126,4332,9,2086,5,0,3469264,785,785,1931,5363,391,5363,5277,895,39.1%,17.0%
